iter	Passed	Remaining
667	10074	5006
668	10088	4991
669	10102	4976
670	10117	4960
671	10131	4945
672	10146	4929
673	10161	4914
674	10175	4899
675	10191	4884
676	10205	4869
677	10220	4853
678	10234	4838
679	10249	4823
680	10264	4808
681	10277	4792
682	10293	4777
683	10308	4762
684	10323	4747
685	10337	4731
686	10351	4716
687	10366	4701
688	10382	4686
689	10396	4671
690	10411	4655
691	10425	4640
692	10440	4625
693	10456	4610
694	10471	4595
695	10486	4580
696	10501	4565
697	10516	4549
698	10530	4534
699	10545	4519
700	10559	4504
701	10574	4488
702	10588	4473
703	10603	4458
704	10619	4443
705	10634	4428
706	10649	4413
707	10663	4397
708	10677	4382
709	10692	4367
710	10707	4352
711	10722	4337
712	10736	4321
713	10750	4306
714	10765	4290
715	10781	4276
716	10796	4261
717	10811	4246
718	10825	4230
719	10840	4215
720	10856	4201
721	10872	4186
722	10887	4171
723	10901	4155
724	10916	4140
725	10931	4125
726	10946	4110
727	10961	4095
728	10975	4080
729	10990	4065
730	11005	4049
731	11019	4034
732	11035	4019
733	11050	4004
734	11065	3989
735	11079	3974
736	11094	3959
737	11109	3943
738	11124	3928
739	11139	3913
740	11153	3898
741	11168	3883
742	11183	3868
743	11199	3853
744	11214	3838
745	11229	3823
746	11244	3808
747	11258	3792
748	11273	3777
749	11288	3762
750	11302	3747
751	11319	3732
752	11334	3717
753	11349	3702
754	11365	3688
755	11381	3673
756	11397	3658
757	11412	3643
758	11427	3628
759	11442	3613
760	11458	3598
761	11472	3583
762	11487	3568
763	11502	3553
764	11517	3538
765	11532	3522
766	11547	3507
767	11562	3492
768	11576	3477
769	11591	3462
770	11606	3447
771	11621	3432
772	11635	3417
773	11649	3401
774	11664	3386
775	11679	3371
776	11693	3356
777	11708	3340
778	11722	3325
779	11737	3310
780	11751	3295
781	11765	3280
782	11780	3264
783	11795	3249
784	11810	3234
785	11824	3219
786	11838	3204
787	11855	3189
788	11870	3174
789	11885	3159
790	11899	3144
791	11914	3128
792	11928	3113
793	11943	3098
794	11959	3083
795	11974	3068
796	11988	3053
797	12004	3038
798	12018	3023
799	12033	3008
800	12048	2993
801	12063	2978
802	12078	2963
803	12092	2947
804	12107	2932
805	12122	2917
806	12137	2902
807	12151	2887
808	12166	2872
809	12181	2857
810	12196	2842
811	12211	2827
812	12226	2812
813	12240	2797
814	12255	2781
815	12270	2766
816	12285	2751
817	12299	2736
818	12313	2721
819	12328	2706
820	12343	2691
821	12358	2676
822	12372	2660
823	12387	2645
824	12401	2630
825	12416	2615
826	12431	2600
827	12446	2585
828	12461	2570
829	12476	2555
830	12491	2540
831	12506	2525
832	12520	2510
833	12535	2495
834	12550	2479
835	12565	2464
836	12579	2449
837	12594	2434
838	12609	2419
839	12623	2404
840	12638	2389
841	12653	2374
842	12668	2359
843	12683	2344
844	12697	2329
845	12712	2314
846	12726	2298
847	12741	2283
848	12756	2268
849	12771	2253
850	12786	2238
851	12800	2223
852	12815	2208
853	12830	2193
854	12846	2178
855	12861	2163
856	12876	2148
857	12891	2133
858	12906	2118
859	12921	2103
860	12935	2088
861	12951	2073
862	12967	2058
863	12981	2043
864	12996	2028
865	13011	2013
866	13026	1998
867	13040	1983
868	13054	1968
869	13069	1952
870	13083	1937
871	13098	1922
872	13113	1907
873	13127	1892
874	13141	1877
875	13156	1862
876	13170	1847
877	13185	1832
878	13199	1817
879	13224	1803
880	13239	1788
881	13253	1773
882	13268	1758
883	13282	1742
884	13297	1727
885	13312	1712
886	13326	1697
887	13341	1682
888	13356	1667
889	13371	1652
890	13385	1637
891	13400	1622
892	13415	1607
893	13429	1592
894	13444	1577
895	13459	1562
896	13474	1547
897	13489	1532
898	13505	1517
899	13521	1502
900	13537	1487
901	13552	1472
902	13566	1457
903	13581	1442
904	13596	1427
905	13612	1412
906	13632	1397
907	13646	1382
908	13662	1367
909	13677	1352
910	13692	1337
911	13706	1322
912	13720	1307
913	13734	1292
914	13749	1277
915	13765	1262
916	13779	1247
917	13794	1232
918	13808	1217
919	13824	1202
920	13839	1187
921	13854	1172
922	13869	1157
923	13884	1142
924	13898	1126
925	13913	1111
926	13928	1096
927	13942	1081
928	13957	1066
929	13971	1051
930	13986	1036
931	14001	1021
932	14016	1006
933	14031	991
934	14046	976
935	14062	961
936	14076	946
937	14092	931
938	14107	916
939	14121	901
940	14136	886
941	14150	871
942	14166	856
943	14181	841
944	14195	826
945	14210	811
946	14227	796
947	14241	781
948	14256	766
949	14270	751
950	14285	736
951	14299	720
952	14314	705
953	14329	690
954	14344	675
955	14358	660
956	14372	645
957	14386	630
958	14401	615
959	14416	600
960	14431	585
961	14444	570
962	14459	555
963	14473	540
964	14488	525
965	14503	510
966	14517	495
967	14532	480
968	14546	465
969	14562	450
970	14577	435
971	14592	420
972	14607	405
973	14621	390
974	14636	375
975	14651	360
976	14666	345
977	14681	330
978	14696	315
979	14711	300
980	14725	285
981	14740	270
982	14755	255
983	14769	240
984	14784	225
985	14798	210
986	14813	195
987	14828	180
988	14844	165
989	14858	150
990	14873	135
991	14887	120
992	14902	105
993	14917	90
994	14932	75
995	14946	60
996	14961	45
997	14975	30
998	14990	15
999	15005	0
